Four-character Idiom,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,
절장보단,絶長補短,긴 것을 잘라서 짧은 것을 보충함. 장점이나 넉넉한 것으로 단점이나 부족한 것을 보충함.,絶,截,斷,緞,,,
조명시리,朝名市利,명예는 조정에서 다투고 이익은 시장에서 다툼. 무슨 일이든 알맞은 곳에서 하여야 함.,朝,粗,旦,緞,,,
중과부적,衆寡不敵,적은 수효로 많은 수효를 대적하지 못함.,衆,仲,群,窘,,,
청천백일,靑天白日,하늘이 맑게 갠 대낮. 맑은 하늘에 뜬 해. 혐의나 원죄가 풀리어 무죄가 됨.,靑,廳,綠,麓,,,
청출어람,靑出於藍,쪽에서 뽑아낸 푸른 물감이 쪽보다 더 푸름. 제자나 후배가 스승보다 선배보다 나음.,靑,廳,綠,麓,,,
청풍명월,淸風明月,맑은 바람과 밝은 달.,淸,廳,澹,痰,,,
초미지급,焦眉之急,눈썹에 불이 붙은 상황처럼 매우 급함.,焦,梢,馮,憑,,,
타초경사,打草驚蛇,풀을 두들겨서 뱀을 놀라게 함. 불필요하게 상대방을 자극함.,打,惰,擊,膈,,,
필부지용,匹夫之勇,깊은 생각 없이 혈기만 믿고 함부로 부리는 소인의 용기.,匹,泌,侶,濾,,,
항룡유회,亢龍有悔,하늘 끝까지 다다른 용이 내려갈 길 밖에 없음을 후회함. 부귀영화가 극도에 다다른 사람은 쇠락할 염려가 있음. 욕심에 한계가 없으면 반드시 후회하게 됨.,亢,降,高,痼,,,
혼정신성,昏定晨省,밤에는 부모의 잠자리를 보아 드리고 이른 아침에는 부모의 밤새 안부를 여쭘. 부모를 잘 섬기고 효성을 다함.,昏,渾,昧,邁,,,
화씨지벽,和氏之璧,화씨의 구슬. 천하의 귀중한 보배. 뛰어난 인재.,和,樺,旼,悶,,,
